Name,Address,Latitude,Longitude
18-23 Templar Road (SYD11),"Digital Realty
13-23 Templar Road
2759 Erskine Park
Australia",-33.8172148,150.7960968
1-12 Templar Road (SYD10),"Digital Realty
1-12 Templar Road
2759 Sydney
New South Wales, Australia",-33.8164189,150.796151
16 Lockwood Rd (SYD14),"Digital Realty
16 Lockwood Rd
NSW 2759 Erskine Park
Australia",-33.818634,150.7985057
23 Waterloo Rd (SYD12),"Digital Realty
23 Waterloo Rd
NSW 2113 North Ryde
Australia",-33.7868087,151.131836
NEXTDC - S1 Sydney,"NEXTDC
4 Eden Park Road
2113 Macquarie Park
NSW, Australia",-33.785173,151.131448
NEXTDC - S2 Sydney,"NEXTDC
6/8 Giffnock Ave
2113 Sydney
New South Wales, Australia",-33.785125,151.1253009
NEXTDC - S3 Sydney,"NEXTDC
2 Broadcast Way
2064 Artarmon
Australia",-33.8193439,151.185033
Vocus Data Centre - Baulkham Hills,"Vocus Communications
12 Brookhollow Avenue, Norwest Business Park
2153 Baulkham Hills
NSW, Australia",-33.7343818,150.9640086
Keppel DC Sydney (SYD2),"Keppel Data Centres
3 Broadcast Way
2065 Sydney
New South Wales, Australia",-33.8198841,151.1863336
Macquarie IC2 – Macquarie Park Data Centre Campus,"Macquarie Data Centres
17-23 Talavera Road
2113 Macquarie Park
NSW, Australia",-33.7808421,151.1272755
Sydney Data Centre 5G Networks,"5G Networks
55 Pyrmont Bridge Road
2009 Pyrmont
NSW, Australia",-33.8723539,151.1945326
iseek - Sydney,"iseek Communications
5 Broadcast Way
2064 Sydney
NSW, Australia",-33.8201333,151.1864434
AirTrunk Sydney West - SYD1,"AirTrunk
35 Huntingwood Dr
2148 Huntingwood
Australia",-33.7994406,150.8819093
Fujitsu Western Sydney Data Centre,"Fujitsu Australia
6 Bellevue Circuit
2145 Greystanes
nsw, Australia",-33.8214412,150.9239055
Fujitsu Homebush Data Centre,"Fujitsu Australia
4 Figtree Drive
2127 Sydney Olympic Park
NSW, Australia",-33.849739,151.0718231
Global Switch Sydney West,"Global Switch
400 Harris Street
NSW 2007 Ultimo
New South Wales, Australia",-33.8756413,151.1975863
North Sydney Data Centre 5GN,"5G Networks
Unit 17/39 Herbert Street
2065 St Leonards
NSW, Australia",-33.8162528,151.1914971
Equinix SY5,"Equinix
Unit B, 200 Bourke Road
2015 Alexandria
Australia",-33.9185485,151.1890502
Equinix SY2,"Equinix
639 Gardeners Road, Unit C
2020 Mascot
Australia",-33.9218679,151.1880252
Equinix SY4,"Equinix
200 Bourke Road
2015 Alexandria
Australia",-33.9191176,151.1896795
Equinix SY3,"Equinix
47 Bourke Road
2015 Alexandria
Australia",-33.9117762,151.1929422
TechFlow Sydney Data Center,"TechFlow Services
Level 3/55 Pyrmont Bridge Rd
NSW 2009 Pyrmont
NSW, Australia",-33.8723422,151.1946724
Macquarie IC3 – Macquarie Park Data Centre Campus,"Macquarie Data Centres
17-23 Talavera Road
2113 Macquarie Park
NSW, Australia",-33.7808421,151.1272755
Fujitsu North Ryde Data Centre,"Fujitsu Australia
23-25 Waterloo Road
2113 North Ryde
New South Wales, Australia",-33.7862739,151.131958
AirTrunk Sydney North - SYD2,"AirTrunk
1 Sirus Road
2066 Lane Cove West
Australia",-33.8076732,151.1458299
Keppel Sydney Gore Hill,"Keppel Data Centres
5 Broadcast Way
2064 Artarmon
Australia",-33.8198841,151.1863336
Telstra St Leonards,"Telstra InfraCo
4A Herbert Street
2065 St. Leonards
Australia",-33.8187228,151.191425
CDC Eastern Creek EC1,"CDC Data Centres
17 Roberts Rd
NSW 2766 Eastern Creek
Australia",-33.818538,150.8355981
Equinix SY1,"Equinix
639 Gardeners Road, Unit B
2020 Mascot
New South Wales, Australia",-33.9218679,151.1880252
DigitalOcean Sydney (SYD1),"DigitalOcean
B/200 Bourke Rd
2015 Alexandria
NSW, Australia",-33.9185485,151.1890502
NEXTDC - S6 Sydney,"NEXTDC
3 Broadcast Way
NSW 2064 Artarmon
Australia",-33.8193439,151.185033
Equinix SY6,"Equinix
8-14 Egerton Street
2128 Silverwater
New South Wales, Australia",-33.837013,151.053381
Macquarie IC1 - Sydney CBD,"Macquarie Data Centres
477 Pitt St
2000 Sydney
NSW, Australia",-33.8805363,151.2061462
NEXTDC - S5 Sydney,"NEXTDC
269 Lane Cove Rd
2113 Macquarie Park
Australia",-33.7864156,151.1281063
NEXTDC - S4 Sydney,"NEXTDC
3-5 Johnston Crescent
2175 Horsley Park
Australia",-33.8326696,150.823076
Rackspace Sydney,"Rackspace Hosting
1-11 Templar Road
2759 Erskine Park
Australia",-33.8164189,150.796151
Goodman Project Pluto,"Goodman
132 McCredie Road
NSW 2161 Guildford
Australia",-33.8497715,150.9554725
GreenSquareDC SYD1,"GreenSquareDC
Norwest Business Park, 3 Brookhollow Ave
NSW 2153 Baulkham Hills
Australia",-33.7324428,150.9673391
AirTrunk Sydney West - SYD3,"AirTrunk
51 Huntingwood Dr
2148 Huntingwood
Australia",-33.7991695,150.8756012
Microsoft Kemps Creek,"Microsoft
769 Mamre Rd
2178 Kemps Creek
Australia",-33.8359267,150.7741969
Summit Sydney,"Summit (formerly Deft)
639 Gardeners Road
2020 Mascot
Australia",-33.9218679,151.1880252
Goodman Project Mars,"Goodman
12 Mars Rd
NSW 2066 Lane Cove West
Australia",-33.811146,151.150162
CDC Marsden Park Campus,"CDC Data Centres
105-113 Hollinsworth Road
NSW 2765 Marsden Park
Australia",-33.7225963,150.8366057
Julius Avenue Data Centre,"ISPT
6-8 Julius Ave
NSW 2113 North Ryde
Australia",-33.7985184,151.143321
CDC Eastern Creek Campus,"CDC Data Centres
17 Roberts Rd
NSW 2766 Eastern Creek
Australia",-33.818538,150.8355981
CDC Marsden Park DC4,"CDC Data Centres
113 Hollinsworth Rd
NSW 2765 Marsden Park
Australia",-33.7244476,150.8367512
CDC Marsden Park DC3,"CDC Data Centres
105 Hollinsworth Rd
NSW 2765 Marsden Park
Australia",-33.7225963,150.8366057
CDC Marsden Park DC2,"CDC Data Centres
105 Hollinsworth Rd
NSW 2765 Marsden Park
Australia",-33.7225963,150.8366057
NTT Australia Sydney 1,"NTT Global Data Centers
Not publicly available
2745 Sydney
Australia",-33.8479652,150.6517354
Amazon AWS SYD - William Dean Campus,"Amazon AWS
1 William Dean Street
NSW 2766 Eastern Creek
Australia",-33.7939288,150.8692378
CDC Marsden Park DC5,"CDC Data Centres
113 Hollinsworth Rd
NSW 2765 Marsden Park
Australia",-33.7244476,150.8367512
CDC Marsden Park DC6,"CDC Data Centres
113 Hollinsworth Rd
NSW 2765 Marsden Park
Australia",-33.7244476,150.8367512
Amazon AWS SYD - Bluett & Turner Campus,"Amazon AWS
1 William Dean Street
NSW 2567 Smeaton Grange
Australia",-33.7939288,150.8692378
Amazon AWS - 11-17 Khartoum Rd,"Amazon AWS
11-17 Khartoum Rd
2113 Macquarie Park
Australia",-33.7801039,151.1253045
CDC Marsden Park DC1,"CDC Data Centres
105 Hollinsworth Rd
NSW 2765 Marsden Park
Australia",-33.7225963,150.8366057
Interactive Sydney,"Interactive Pty Ltd
Tower B, 39 Herbert Street
2065 St Leonards
NSW, Australia",-33.8152282,151.1923548
Amaze DataHaven,"Amaze
2/340 George ST
2017 Waterloo
NSW, Australia",-33.9016469,151.2028064
Telstra Sydney,"Telstra InfraCo
133 Liverpool street
2000 Sydney
NSW, Australia",-33.8770265,151.2084135
CDC Eastern Creek EC3,"CDC Data Centres
17 Roberts Rd
NSW 2766 Eastern Creek
Australia",-33.818538,150.8355981
CDC Eastern Creek EC4,"CDC Data Centres
17 Roberts Rd
NSW 2766 Eastern Creek
Australia",-33.818538,150.8355981
CDC Eastern Creek EC2,"CDC Data Centres
17 Roberts Rd
NSW 2766 Eastern Creek
Australia",-33.818538,150.8355981
Equinix SY9x,"Equinix
10 Grand Avenue
2142 Rosehill
Australia",-33.8225496,151.0349456
Global Switch Sydney East,"Global Switch
400 Harris Street
NSW 2007 Ultimo
New South Wales, Australia",-33.8756413,151.1975863
Vocus Data Centre - Sydney,"Vocus Communications
59 Doody Street
2015 Sydney
NSW, Australia",-33.9148147,151.1929788
Datacom@AirTrunk Sydney,"Datacom
35 Huntingwood Dr
2148 Sydney
New South Wales, Australia",-33.7994406,150.8819093
Telstra Chippendale,"Telstra InfraCo
184-200 Broadway
NSW 2008 Chippendale
Australia",-33.8847143,151.195474
CDC Eastern Creek EC5,"CDC Data Centres
17 Roberts Rd
NSW 2766 Eastern Creek
Australia",-33.818538,150.8355981
Microsoft Seven Hills,"Microsoft
57 Station Road
NSW 2147 Seven Hills
Australia",-33.7791839,150.9485069
CDC Eastern Creek EC6,"CDC Data Centres
17 Roberts Rd
NSW 2766 Eastern Creek
Australia",-33.818538,150.8355981
Vocus Data Centre - SYD04,"Vocus Communications
74 Mentmore Avenue
2018 Rosebery
New South Wales, Australia",-33.9195149,151.2025875
Amazon AWS SYD - 146 Turner,"Amazon AWS
1 William Dean Street
NSW 2567 Smeaton Grange
Australia",-33.7939288,150.8692378
Amazon AWS SYD - 42A Bluett,"Amazon AWS
1 William Dean Street
NSW 2567 Smeaton Grange
Australia",-33.7939288,150.8692378
DCI Sydney 02,"DCI Data Centers
86 Peter Brock Dr
2766 Eastern Creek
Australia",-33.8047904,150.8869781
STACK Infrastructure Erskine Park,"STACK INFRASTRUCTURE
78 Lockwood Rd
NSW 2759 Erskine Park
Australia",-33.8158475,150.811772
Amazon AWS SYD - 1 William A,"Amazon AWS
1 William Dean Street
NSW 2766 Eastern Creek
Australia",-33.7939288,150.8692378
Amazon AWS SYD - Eastern Creek,"Amazon AWS
10 Eastern Creek Dr
NSW 2766 Eastern Creek
Australia",-33.8103271,150.8389546
Amazon AWS SYD - 1 William B,"Amazon AWS
1 William Dean Street
NSW 2766 Eastern Creek
Australia",-33.7939288,150.8692378
ServersAustralia Sydney S4,"ServersAustralia
Unit 17, 39 Herbert St
2065 St Leonards
NSW, Australia",-33.8162528,151.1914971
Amazon AWS SYD - 148 Turner,"Amazon AWS
1 William Dean Street
NSW 2567 Smeaton Grange
Australia",-33.7939288,150.8692378
22 O'Riordan Street,"Markham Real Estate Partners
22 O'Riordan St
NSW 2015 Alexandria
Australia",-33.9081165,151.2013162
NEXTDC - S7 Sydney,"NEXTDC
TBA - To Be Announced
NSW 2766 Eastern Creek
Australia",-33.8102184,150.85064
AAPT Glebe,"AAPT
30 Ross Street
NS 2037 Glebe
New South Wales, Australia",-33.8832274,151.1827204
AAPT Haymarket,"AAPT
187 Thomas Street
NS 2006 Haymarket
New South Wales, Australia",-33.8814912,151.2037936
PIPE Networks Sydney,"PIPE Networks Limited
13/2 Park St
NS 2000 Sydney
New South Wales, Australia",-33.8740772,151.2077698
Equinix SY10x,"Equinix
10 Grand Ave
2142 Rosehill
Australia",-33.8225496,151.0349456
DCI Sydney 03,"DCI Data Centers
1 Raceway Pl
2766 Eastern Creek
Australia",-33.8047342,150.884876
DCI Sydney 01,"DCI Data Centers
90 Peter Brock Dr
2766 Eastern Creek
NSW, Australia",-33.8047904,150.8869781
St Leonards Corporate Centre,"39 Herbert Street
2065 St Leonards
NSW, Australia",-33.8152282,151.1923548
Microsoft Azure Australia East-New South Wales,"Microsoft Azure
1 Denison Street
2060 North Sydney, NSW",-33.83838,151.208069
Kyndryl Australia Data Center,"Kyndryl Australia
George Street
2000 Sydney, NSW",-33.8707537,151.2069861
LeaseWeb Sydney SYD-11 Data Center,"LeaseWeb
Unit a/200 Bourke Road
2015 Alexandria, NSW",-33.9182536,151.1893704
The ISPT / Summit Data Centre Campus,"706-752 Mamre Road, Kemps Creek, NSW, 2178",-33.8346188,150.7869275
Microsoft Kemps Creek Datacenter ,"769 Mamre Road, Kemps Creek, NSW, 2178",-33.8359067,150.7744315
Mamre Road Data Centre Campus - KNBDC SYD4 Pty Ltd (proponent listed in NSW Investment Delivery Authority material),"706–752 Mamre Road, Kemps Creek, NSW 2178",-33.8346188,150.7869275
Goodman Project Mars / Project Atlas (depending on naming used),"Lane Cove West, NSW 2066",-33.8152,151.1521
Lane Cove Data Centre Development Project - DC Alliance,"16–20 Mars Road, Lane Cove West, NSW 2066",-33.8122342,151.1471073
NEXTDC S7 Data Centre Eastern Creek,"Eastern Creek, NSW 2766",-33.8023,150.8692
NEXTDC S4 Data Centre,"Fairfield, NSW 2165",-33.8707,150.9554
STACK Infrastructure 78 Lockwood Road Data Centre,"78 Lockwood Road, Erskine Park, NSW 2759",-33.8158603,150.8117666